Customer ID,Recency,Frequency,Monetary,Cluster
12346.0,326,12,77556.46,0
12347.0,2,8,4921.53,0
12348.0,75,5,2019.4,0
12349.0,19,4,4428.6900000000005,0
12350.0,310,1,334.40000000000003,1
12351.0,375,1,300.93,1
12352.0,36,10,2849.84,0
12353.0,204,2,406.76,0
12354.0,232,1,1079.4,0
12355.0,214,2,947.61,0
12356.0,23,6,6371.7300000000005,0
12357.0,33,3,18287.66,0
12358.0,2,5,3887.07,0
12359.0,58,10,8873.39,0
12360.0,52,8,4252.89,0
12361.0,287,4,511.25,1
12362.0,3,11,5356.2300000000005,0
12363.0,110,2,552.0,0
12364.0,8,4,1313.1,0
12365.0,291,2,641.38,1
12366.0,634,1,500.24,1
12367.0,4,1,168.9,0
12368.0,628,1,917.7,1
12369.0,413,3,1791.15,1
12370.0,51,7,4316.56,0
12371.0,45,5,4067.38,0
12372.0,72,3,1298.04,0
12373.0,311,3,1127.65,1
12374.0,25,4,2989.2200000000003,0
12375.0,11,2,457.5,0
12376.0,390,2,503.15,1
12377.0,315,4,3426.32,1
12378.0,130,2,5416.32,0
12379.0,82,4,1620.22,0
12380.0,22,11,9676.3,0
12381.0,5,5,1845.31,0
12383.0,185,5,1850.56,0
12384.0,29,2,585.27,0
12385.0,379,1,1938.4,1
12386.0,338,2,401.9,1
12387.0,415,1,143.94,1
12388.0,16,8,3901.11,0
12389.0,403,3,1433.33,1
12390.0,80,1,549.84,0
12391.0,22,6,2724.84,0
12392.0,591,1,234.75000000000003,1
12393.0,72,6,2399.45,0
12394.0,64,2,1272.48,0
12395.0,19,15,4721.17,0
12396.0,674,1,931.43,1
12397.0,36,2,2409.9,0
12398.0,46,1,1635.66,0
12399.0,119,7,1962.3,0
12400.0,414,1,205.25,1
12401.0,303,1,84.3,1
12402.0,323,6,1256.9,1
12403.0,50,2,1019.36,0
12404.0,682,1,63.24,1
12405.0,149,1,1710.39,0
12406.0,22,5,6390.36,0
12407.0,50,5,1708.12,0
12408.0,33,8,4340.77,0
12409.0,79,7,23419.29,0
12410.0,309,3,1013.71,1
12411.0,410,1,346.9,1
12412.0,75,6,2596.93,0
12413.0,67,4,999.45,0
12414.0,217,6,952.41,0
12415.0,24,28,144458.37,3
12416.0,657,1,202.56,1
12417.0,3,20,6797.41,0
12418.0,113,4,2021.2,0
12419.0,386,2,503.01,1
12420.0,64,1,600.39,0
