ds,y
2009-12-01 07:45:00,505.3
2009-12-01 07:46:00,145.8
2009-12-01 09:06:00,630.33
2009-12-01 09:08:00,310.75
2009-12-01 09:24:00,2286.24
2009-12-01 09:28:00,426.3
2009-12-01 09:43:00,50.4
2009-12-01 09:44:00,344.34000000000003
2009-12-01 09:46:00,382.37
2009-12-01 09:50:00,285.06
2009-12-01 09:55:00,141.0
2009-12-01 09:57:00,308.44
2009-12-01 10:06:00,996.1
2009-12-01 10:10:00,130.0
2009-12-01 10:18:00,570.24
2009-12-01 10:36:00,196.10000000000002
2009-12-01 10:46:00,485.79
2009-12-01 10:49:00,737.63
2009-12-01 10:52:00,1197.8000000000002
2009-12-01 10:59:00,251.1
2009-12-01 11:17:00,255.5
2009-12-01 11:21:00,823.02
2009-12-01 11:34:00,250.06
2009-12-01 11:37:00,696.73
2009-12-01 11:41:00,733.63
2009-12-01 11:45:00,700.31
2009-12-01 11:46:00,1160.0
2009-12-01 11:50:00,929.9200000000001
2009-12-01 11:51:00,212.63
2009-12-01 11:57:00,145.0
2009-12-01 11:58:00,304.53
2009-12-01 12:02:00,181.5
2009-12-01 12:13:00,341.02
2009-12-01 12:14:00,633.33
2009-12-01 12:18:00,3425.1
2009-12-01 12:19:00,387.6
2009-12-01 12:20:00,281.82
2009-12-01 12:22:00,124.95
2009-12-01 12:30:00,1225.95
2009-12-01 12:33:00,482.3
2009-12-01 12:36:00,278.61
2009-12-01 12:47:00,377.15
2009-12-01 12:52:00,603.94
2009-12-01 12:54:00,291.58000000000004
2009-12-01 12:55:00,128.60000000000002
2009-12-01 12:56:00,859.1
2009-12-01 12:57:00,246.86
2009-12-01 13:07:00,229.6
2009-12-01 13:13:00,322.9
2009-12-01 13:16:00,218.55
2009-12-01 13:19:00,307.8
2009-12-01 13:20:00,282.28
2009-12-01 13:29:00,1244.22
2009-12-01 13:31:00,544.73
2009-12-01 13:37:00,367.28000000000003
2009-12-01 13:38:00,319.66
2009-12-01 13:41:00,219.82
2009-12-01 13:43:00,261.0
2009-12-01 13:47:00,418.78
2009-12-01 13:48:00,21.95
2009-12-01 13:49:00,105.85
2009-12-01 13:50:00,263.42
2009-12-01 14:14:00,362.78000000000003
2009-12-01 14:19:00,727.35
2009-12-01 14:35:00,822.37
2009-12-01 14:40:00,2454.68
2009-12-01 14:48:00,2.1
2009-12-01 14:53:00,2.95
2009-12-01 14:56:00,12.75
2009-12-01 14:59:00,198.0
2009-12-01 15:19:00,17.4
2009-12-01 15:26:00,352.85
2009-12-01 15:36:00,535.9
2009-12-01 16:05:00,31.200000000000003
2009-12-01 16:17:00,329.90999999999997
2009-12-01 16:18:00,622.1
2009-12-01 16:30:00,857.5400000000001
2009-12-01 16:34:00,261.74
2009-12-01 16:44:00,173.1
2009-12-01 17:08:00,294.14
2009-12-01 17:19:00,222.12
2009-12-01 17:28:00,1292.5
2009-12-01 17:31:00,828.09
2009-12-01 17:45:00,23.48
2009-12-01 17:50:00,73.75
2009-12-01 18:03:00,374.43
2009-12-01 18:07:00,252.3
2009-12-01 18:13:00,263.09000000000003
2009-12-01 18:35:00,538.46
2009-12-01 19:19:00,378.12
2009-12-02 08:15:00,397.20000000000005
2009-12-02 08:16:00,114.60000000000001
2009-12-02 08:58:00,740.3
2009-12-02 09:21:00,772.65
2009-12-02 09:23:00,61.1
2009-12-02 09:35:00,261.3
2009-12-02 09:47:00,4939.22
2009-12-02 09:49:00,1210.8
2009-12-02 09:50:00,192.0
2009-12-02 09:57:00,189.3
2009-12-02 10:00:00,795.98
2009-12-02 10:02:00,134.59
2009-12-02 10:08:00,125.73
2009-12-02 10:09:00,1317.97
2009-12-02 10:15:00,266.59999999999997
2009-12-02 10:41:00,221.53
2009-12-02 10:42:00,299.70000000000005
2009-12-02 10:48:00,306.95
2009-12-02 10:51:00,401.7
2009-12-02 10:52:00,3125.64
2009-12-02 10:58:00,2052.12
2009-12-02 11:07:00,966.0
2009-12-02 11:09:00,900.0
2009-12-02 11:18:00,180.45000000000002
2009-12-02 11:20:00,168.0
2009-12-02 11:24:00,538.77
2009-12-02 11:26:00,754.2
2009-12-02 11:31:00,223.1
2009-12-02 11:33:00,271.74
2009-12-02 11:34:00,124.78
2009-12-02 11:43:00,159.98000000000002
2009-12-02 11:45:00,228.36
2009-12-02 11:47:00,162.04
2009-12-02 11:48:00,40.8
2009-12-02 11:51:00,333.09000000000003
2009-12-02 11:52:00,212.66
2009-12-02 11:53:00,293.19
2009-12-02 11:55:00,119.16
2009-12-02 11:59:00,211.52
2009-12-02 12:06:00,1140.38
2009-12-02 12:09:00,260.36
2009-12-02 12:13:00,993.21
2009-12-02 12:15:00,311.5
2009-12-02 12:19:00,196.88
2009-12-02 12:22:00,296.69
2009-12-02 12:26:00,382.57
2009-12-02 12:28:00,128.48
2009-12-02 12:32:00,174.52
2009-12-02 12:38:00,251.17
2009-12-02 12:39:00,454.35
2009-12-02 12:43:00,180.13
2009-12-02 12:44:00,109.84
2009-12-02 12:46:00,112.5
2009-12-02 12:47:00,493.25
2009-12-02 12:54:00,634.29
2009-12-02 13:00:00,597.6899999999999
2009-12-02 13:06:00,811.53
2009-12-02 13:10:00,110.05
2009-12-02 13:20:00,284.55
2009-12-02 13:22:00,340.2
2009-12-02 13:23:00,912.73
2009-12-02 13:26:00,371.27000000000004
2009-12-02 13:32:00,87.30000000000001
2009-12-02 13:33:00,176.88
2009-12-02 13:34:00,174.1
2009-12-02 13:39:00,85.95
2009-12-02 13:51:00,445.7
2009-12-02 13:53:00,472.47
2009-12-02 13:57:00,628.14
2009-12-02 13:58:00,1008.0
2009-12-02 14:06:00,313.27
2009-12-02 14:09:00,365.48
2009-12-02 14:15:00,714.0
2009-12-02 14:21:00,507.47
2009-12-02 14:22:00,89.69999999999999
2009-12-02 14:34:00,157.91
2009-12-02 14:52:00,734.7
2009-12-02 14:55:00,66.82
2009-12-02 14:56:00,206.85
2009-12-02 15:01:00,234.87
2009-12-02 15:04:00,987.73
2009-12-02 15:10:00,675.0
2009-12-02 15:15:00,39.980000000000004
2009-12-02 15:16:00,162.1
2009-12-02 15:17:00,735.7
2009-12-02 15:28:00,632.9
2009-12-02 15:29:00,10.2
2009-12-02 15:38:00,176.6
2009-12-02 15:41:00,525.71
2009-12-02 15:44:00,407.95
2009-12-02 15:51:00,140.16
2009-12-02 16:02:00,163.47
2009-12-02 16:18:00,380.28
2009-12-02 16:24:00,581.89
2009-12-02 16:49:00,597.4
2009-12-02 16:52:00,4734.24
2009-12-02 16:53:00,976.8
2009-12-02 16:59:00,181.08
2009-12-02 17:06:00,300.1
2009-12-02 17:18:00,520.2
2009-12-03 07:25:00,371.82
2009-12-03 07:57:00,337.93
2009-12-03 09:10:00,260.44
2009-12-03 09:44:00,287.37
2009-12-03 09:52:00,119.10000000000001
2009-12-03 10:02:00,203.78
2009-12-03 10:03:00,478.7
2009-12-03 10:16:00,120.0
2009-12-03 10:17:00,202.06
2009-12-03 10:20:00,749.53
2009-12-03 10:23:00,144.0
2009-12-03 10:26:00,1146.1000000000001
2009-12-03 10:28:00,1062.6
2009-12-03 10:37:00,390.6
2009-12-03 10:49:00,82.60000000000001
2009-12-03 10:51:00,181.65
2009-12-03 11:09:00,430.9
2009-12-03 11:10:00,320.40000000000003
2009-12-03 11:19:00,321.65000000000003
2009-12-03 11:25:00,154.2
2009-12-03 11:34:00,143.06
2009-12-03 11:45:00,169.5
2009-12-03 11:46:00,114.55
2009-12-03 11:51:00,317.55
2009-12-03 11:53:00,912.5600000000001
2009-12-03 11:57:00,556.75
2009-12-03 12:02:00,344.40000000000003
2009-12-03 12:10:00,502.28
2009-12-03 12:13:00,285.09
2009-12-03 12:15:00,1008.0
2009-12-03 12:27:00,1485.59
2009-12-03 12:28:00,740.46
2009-12-03 12:31:00,4773.65
2009-12-03 12:34:00,308.6
2009-12-03 12:36:00,48.0
2009-12-03 12:37:00,45.60000000000001
2009-12-03 12:38:00,189.15
2009-12-03 12:40:00,215.0
2009-12-03 12:45:00,69.82
2009-12-03 12:50:00,180.39
2009-12-03 13:02:00,492.15000000000003
2009-12-03 13:03:00,1146.71
2009-12-03 13:04:00,102.0
2009-12-03 13:05:00,13.5
2009-12-03 13:09:00,831.0
2009-12-03 13:17:00,119.53999999999999
2009-12-03 13:22:00,277.5
2009-12-03 13:25:00,421.64000000000004
2009-12-03 13:26:00,47.85
2009-12-03 13:30:00,14475.0
2009-12-03 13:32:00,314.22
2009-12-03 13:42:00,4000.0
2009-12-03 13:46:00,165.3
2009-12-03 13:49:00,204.3
2009-12-03 13:51:00,355.59000000000003
2009-12-03 13:58:00,1260.0
2009-12-03 14:00:00,372.20000000000005
2009-12-03 14:02:00,952.61
2009-12-03 14:06:00,284.3
2009-12-03 14:07:00,397.65
2009-12-03 14:11:00,294.85
2009-12-03 14:28:00,187.15
2009-12-03 14:36:00,258.1
2009-12-03 14:42:00,381.0
2009-12-03 15:09:00,699.86
2009-12-03 15:15:00,160.35
2009-12-03 15:20:00,311.7
2009-12-03 15:32:00,723.09
2009-12-03 15:34:00,337.9
2009-12-03 15:35:00,2506.14
2009-12-03 15:43:00,170.06
2009-12-03 15:48:00,799.2
2009-12-03 15:49:00,898.1800000000001
2009-12-03 15:50:00,17.0
2009-12-03 15:52:00,466.2000000000001
2009-12-03 15:53:00,41.18
2009-12-03 15:54:00,1146.87
2009-12-03 15:56:00,2646.46
2009-12-03 16:02:00,186.36
2009-12-03 16:09:00,273.52
2009-12-03 16:12:00,1225.98
2009-12-03 16:21:00,869.9300000000001
2009-12-03 16:24:00,338.5
