Product,TotalSold,RecommendedStock
  DOORMAT UNION JACK GUNS AND ROSES,167,200.4
 3 STRIPEY MICE FELTCRAFT,662,794.4
 4 PURPLE FLOCK DINNER CANDLES,324,388.8
 50'S CHRISTMAS GIFT BAG LARGE,1885,2262.0
 ANIMAL STICKERS,385,462.0
 BLACK PIRATE TREASURE CHEST,45,54.0
 BROWN  PIRATE TREASURE CHEST ,36,43.199999999999996
 Bank Charges,2,2.4
 CAMPHOR WOOD PORTOBELLO MUSHROOM,43,51.6
 CHERRY BLOSSOM  DECORATIVE FLASK,308,369.59999999999997
 DOLLY GIRL BEAKER,2394,2872.7999999999997
 FAIRY CAKE CANDLES,153,183.6
 FLAMINGO LIGHTS,335,402.0
 HOME SWEET HOME  BLACKBOARD,117,140.4
 I LOVE LONDON MINI BACKPACK,359,430.8
 I LOVE LONDON MINI RUCKSACK,1,1.2
 IVORY PAPER CUP CAKE CASES ,1146,1375.2
 LARGE SKULL WINDMILL,8,9.6
 NEW BAROQUE BLACK BOXES,6,7.199999999999999
 NINE DRAWER OFFICE TIDY,54,64.8
 OVAL WALL MIRROR DIAMANTE ,139,166.79999999999998
 PAINT YOUR OWN CANVAS SET,480,576.0
 PEACE WOODEN BLOCK LETTERS,133,159.6
 RED SPOT GIFT BAG LARGE,1686,2023.1999999999998
 RED/WHITE DOT MINI CASES,478,573.6
 RIDGED GLASS T-LIGHT HOLDER,940,1128.0
 SET 2 TEA TOWELS I LOVE LONDON ,3511,4213.2
 SET Of 6 SOLDIER SKITTLES,16,19.2
 SILVER CHERRY LIGHTS,264,316.8
 SILVER T-LIGHT SETTING,37,44.4
 SPACEBOY BABY GIFT SET,449,538.8
 STAR  T-LIGHT HOLDER ,20,24.0
 TOADSTOOL BEDSIDE LIGHT ,2,2.4
 TRELLIS COAT RACK,217,260.4
 VINTAGE DESIGN GIFT TAGS,244,292.8
 WHITE BAMBOO RIBS LAMPSHADE,210,252.0
 WHITE CHERRY LIGHTS,1986,2383.2
10 COLOUR SPACEBOY PEN,11892,14270.4
11 PC CERAMIC TEA SET POLKADOT,3,3.5999999999999996
12 ASS ZINC CHRISTMAS DECORATIONS,429,514.8
12 COLOURED PARTY BALLOONS,4157,4988.4
